Time FPz	EOG1	F3	Fz	F4	EOG2	FC5	FC1	FC2	FC6	T7	C3	C4	Cz	T8	CP5	CP1	CP2	CP6	P7	P3	Pz	P4	P8	PO7	PO3	POz	PO4	PO8	O1	Oz	O2	
-1000.0000	-0.4012	0.9720	-0.5206	-1.7897	-1.4413	1.7705	0.2966	-1.1116	-0.5538	-0.6010	-0.0534	-0.6665	-0.7101	-1.4287	1.8641	-0.7438	-1.5730	0.3554	0.4363	-1.1447	-2.4556	-0.6265	-0.4280	-0.4472	-2.3172	-2.3777	-1.2756	-1.7016	-2.3032	-2.7472	-2.7807	-2.5410
-992.1875	1.0151	3.6540	0.6195	-0.3422	-0.7291	0.8134	0.8561	-0.1375	-0.9252	-0.0354	0.9903	-0.8304	-0.8051	-0.6721	2.7158	-1.2416	-1.9249	0.0314	0.5279	-2.5341	-3.2767	-0.6411	-0.4960	-0.3646	-4.0409	-4.3428	-1.8541	-1.6532	-2.2440	-3.2422	-2.7006	-2.4988
-984.3750	-1.2756	1.6608	-2.4084	-2.1586	-1.6691	1.7462	-1.4025	-2.3952	-1.8438	-0.9170	-0.9870	-2.5328	-2.1309	-2.3740	1.7276	-3.1722	-3.4447	-1.7150	-0.9014	-3.6140	-4.4641	-2.2381	-1.9926	-1.6503	-4.4144	-4.9797	-2.6161	-2.9303	-3.9039	-3.8341	-3.5836	-3.4899
-976.5625	-3.0259	1.4883	-2.8564	-2.7210	-2.2328	-1.5629	-1.5870	-2.1274	-2.0561	-0.3993	-0.6039	-1.7198	-1.3473	-1.4301	1.3821	-2.0167	-1.8480	-1.0438	-0.3595	-2.1576	-2.7263	-1.0100	-1.2155	-1.1356	-3.2211	-2.9439	-1.3282	-1.7299	-2.8015	-2.6571	-1.9772	-2.0560
-968.7500	-4.9193	0.3099	-3.7053	-3.3646	-2.4433	0.0149	-2.6460	-2.3869	-2.2341	-0.9554	-1.7234	-1.8139	-1.9068	-1.9422	0.9331	-2.8495	-1.9543	-1.6412	-0.7278	-3.6608	-2.7419	-1.1729	-1.7737	-1.0684	-4.4687	-2.5056	-1.1880	-1.2491	-1.6257	-2.9608	-1.8777	-1.1433
-960.9375	-3.4706	1.7646	-0.9136	-1.1423	-1.1893	-0.7893	-0.4469	-0.1159	-0.5245	-0.1175	-0.0350	0.1276	-0.2129	-0.3643	1.7654	-0.5643	0.5064	0.1427	0.8453	-2.1470	0.0131	0.5311	0.2441	1.5455	-1.9818	0.4817	0.7537	1.0966	1.3225	-0.2868	0.6956	1.6868
-953.1250	-6.6200	-2.1219	-2.8481	-3.4849	-3.5005	-0.8398	-1.7110	-1.9322	-2.3993	-3.3447	-0.3882	-0.4925	-2.9919	-2.2365	-0.4223	-0.5167	-0.5101	-2.1866	-1.6770	-1.4820	-0.0906	-0.5948	-1.5206	-0.4459	-1.0303	1.0944	-0.2367	-0.3102	0.1228	-0.1356	-0.3300	0.1529
-945.3125	-6.5976	-1.3333	-3.4336	-4.9771	-5.3427	-0.6362	-0.8634	-2.9415	-4.5627	-4.7023	1.4578	-0.1924	-5.1262	-3.9906	-1.6199	1.2399	-0.7025	-4.0813	-3.3607	1.2129	0.6309	-1.4600	-3.4781	-1.5744	1.0258	1.7064	-0.9648	-1.6733	-1.2852	0.4869	-0.9748	-1.2291
-937.5000	-4.1398	0.1546	-1.1527	-3.7934	-5.5940	2.8678	1.5142	-1.1622	-4.7662	-4.3717	3.2759	1.5143	-4.7092	-3.2250	-1.6307	2.6265	-0.0105	-3.9963	-3.0111	2.8655	2.0411	-1.3456	-3.0185	-0.2429	2.4866	2.4843	-0.4854	-1.0192	-0.2831	1.2119	-0.4342	0.0163
-929.6875	-3.2475	0.4778	-0.8545	-3.2218	-5.3541	1.7044	0.6134	-1.5211	-3.8037	-4.2187	1.8819	-0.6498	-4.8848	-3.3696	-1.5059	1.1691	-1.4198	-4.5705	-4.0500	1.8568	0.1523	-2.1951	-3.8548	-1.8822	1.9360	1.3725	-1.1215	-2.0423	-1.6100	0.9709	-0.6796	-1.1250
